"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
14,15,12,17,13,16,18,16,18,20,16,26,16,16,24,20,20,19,21,21,24,24,22,25,24,25,26,27
16,15,15,13,17,11,19,20,19,22,22,12,26,20,19,22,18,25,22,20,22,20,23,21,24,25,26,27
15,15,15,9,16,17,13,17,15,20,17,40,64,75,74,58,29,22,23,26,22,27,25,29,24,25,26,27
17,13,12,15,14,11,18,20,18,57,136,150,129,117,115,132,153,92,25,26,24,22,23,25,26,27,28,28
16,16,14,12,14,9,19,18,89,146,75,29,22,21,22,26,43,133,91,26,24,26,30,23,27,28,29,29
15,16,16,10,13,17,14,85,139,47,26,16,22,24,20,17,21,46,147,23,30,22,22,26,26,26,27,28
18,12,14,16,13,14,52,150,53,19,18,22,18,19,17,23,22,25,150,42,15,25,24,24,24,25,26,26
16,19,14,11,15,16,116,88,22,19,17,23,18,19,22,20,24,23,147,42,23,27,20,26,25,26,26,27
16,17,14,18,13,12,105,30,19,20,20,17,21,18,23,21,25,23,153,39,25,22,25,26,25,26,28,29
20,12,17,15,11,17,20,19,23,15,22,24,24,21,22,19,22,43,160,29,25,25,22,23,25,26,28,29
15,17,12,14,19,13,11,19,19,16,24,21,21,22,24,28,26,66,142,25,24,26,26,24,25,26,28,29
18,14,17,11,16,13,22,20,20,23,20,20,29,27,22,25,30,112,107,27,26,24,27,26,26,27,29,30
19,16,17,16,15,17,13,21,23,25,20,25,29,24,26,30,32,152,62,23,27,25,23,28,27,28,30,31
16,22,13,20,17,17,23,23,23,26,25,28,22,24,29,26,83,144,27,24,26,25,26,28,28,29,31,32
20,17,21,14,11,21,24,23,28,29,29,28,29,33,24,36,145,93,23,32,26,25,29,25,29,30,32,33
18,19,17,16,15,24,20,28,28,29,30,26,31,27,29,101,146,33,27,25,24,27,27,27,30,31,33,34
20,17,21,15,21,22,29,30,32,31,34,31,29,33,70,161,59,31,23,29,26,28,33,27,29,32,36,30
22,19,19,20,19,30,34,34,36,32,28,27,33,57,156,99,32,27,27,29,28,29,31,30,33,37,34,35
23,25,22,25,32,32,35,39,30,35,31,33,50,148,115,27,26,30,28,26,30,31,30,33,37,33,34,42
22,20,27,26,29,35,25,39,33,30,27,44,147,127,33,30,28,31,28,29,34,32,28,33,34,39,40,38
21,24,26,29,32,35,41,110,152,140,106,157,135,37,31,30,30,31,30,29,30,31,34,39,39,35,42,41
24,30,27,34,38,34,106,144,67,113,171,151,162,161,142,131,118,112,101,84,68,59,48,37,42,42,40,45
26,25,31,35,30,36,125,106,113,168,91,31,37,53,76,84,94,103,116,132,150,165,170,169,154,35,44,48
28,36,32,31,38,32,63,144,141,62,28,29,34,31,28,32,33,35,33,34,39,40,46,58,76,46,49,38
33,34,34,34,33,32,32,33,31,31,31,31,31,31,32,33,32,34,34,35,38,39,40,42,44,44,44,46
35,36,36,36,35,34,34,34,33,33,34,33,33,33,34,35,34,36,36,37,40,41,41,43,45,45,46,47
37,38,38,38,37,36,36,36,35,36,36,36,36,36,36,37,36,38,38,39,42,43,43,45,46,46,47,48
39,39,39,39,38,37,37,37,37,37,38,38,37,37,38,38,37,39,39,40,43,44,45,47,46,46,48,50
